"summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"2835","1130","1831","-1","6358","4","12.192","1193","239","8","0","total","4.848","774","52","2663","10000","11.27","10","30"
"","","","","","","","","","","","tracker","4.848","","","","","","",""
"","","","","","","","","","","","sedentaryActive","1.0663","","","","","","",""
"","","","","","","","","","","","lightlyActive","0.5125","","","","","","",""
"","","","","","","","","","","","moderatelyActive","0.0463","","","","","","",""
"","","","","","","","","","","","veryActive","0.0","","","","","","",""
"","","","","","","","","","","","loggedActivities","0.0","","","","","","",""
