"summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"2846","1243","1850","-1","8145","16","48.768","1155","285","0","0","total","6.144019","800","52","2663","10000","11.27","10","30"
"","","","","","","","","","","","tracker","6.0843","","","","","","",""
"","","","","","","","","","","","sedentaryActive","1.5385","","","","","","",""
"","","","","","","","","","","","lightlyActive","1.3898","","","","","","",""
"","","","","","","","","","","","moderatelyActive","0.272","","","","","","",""
"","","","","","","","","","","","veryActive","0.1875","","","","","","",""
"","","","","","","","","","","","loggedActivities","0.0","","","","","","",""
