"summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"2585","860","1831","-1","4849","4","12.192","1241","199","0","0","total","3.6326","576","55","2663","10000","11.27","10","30"
"","","","","","","","","","","","tracker","3.6326","","","","","","",""
"","","","","","","","","","","","sedentaryActive","0.8891","","","","","","",""
"","","","","","","","","","","","lightlyActive","0.4923","","","","","","",""
"","","","","","","","","","","","moderatelyActive","0.1179","","","","","","",""
"","","","","","","","","","","","veryActive","0.0167","","","","","","",""
"","","","","","","","","","","","loggedActivities","0.0","","","","","","",""
